transaction_id,product_id,customer_id,transaction_date,online_transaction,offline_transaction,order_status,brand,product_line,product_class,product_size,standard_cost,address,postcode,state,country,Unnamed: 13
52,96,857,27-11-2022,F,T,Approved,Giant Bicycles,Standard,medium,large,$993.66,18 Parkside Plaza,4122.0,QLD,Australia,
53,6,3455,21-12-2021,T,F,Approved,OHM Cycles,Standard,high,medium,$136.73,757 Debs Avenue,4670.0,QLD,Australia,
54,27,2549,09-02-2022,T,F,Approved,Trek Bicycles,Standard,medium,medium,$388.72,01 Burning Wood Terrace,2323.0,NSW,Australia,
55,0,3140,18-09-2022,F,T,Approved,Norco Bicycles,Standard,low,medium,$290.41,3 Canary Center,2040.0,NSW,Australia,
56,47,3406,14-11-2022,F,T,Approved,Trek Bicycles,Road,low,small,"$1,531.42",5 Northland Plaza,2096.0,NSW,Australia,
57,94,2294,30-08-2022,T,F,Approved,Giant Bicycles,Standard,medium,large,$993.66,7 Melrose Circle,4017.0,QLD,Australia,
58,91,1031,14-11-2022,F,T,Approved,Solex,Standard,medium,medium,$75.26,65634 Del Mar Crossing,4053.0,QLD,Australia,
59,93,993,15-02-2022,T,F,Approved,OHM Cycles,Standard,high,medium,$874.90,84019 Porter Trail,2871.0,NSW,Australia,
60,60,3473,18-12-2021,F,T,Approved,Giant Bicycles,Standard,high,small,"$1,759.85",7279 Steensland Circle,3803.0,VIC,Australia,
61,0,1839,24-02-2022,F,T,Approved,OHM Cycles,Road,high,large,$7.21,734 South Court,4152.0,QLD,Australia,
62,33,1824,18-12-2021,T,F,Approved,Giant Bicycles,Standard,medium,small,"$1,167.18",2364 Dovetail Way,3048.0,VIC,Australia,
63,35,368,17-12-2021,F,T,Approved,Giant Bicycles,Standard,medium,medium,$954.82,382 Maywood Parkway,4127.0,QLD,Australia,
64,0,2000,08-07-2022,F,T,Approved,Trek Bicycles,Standard,medium,medium,$388.72,59170 Westridge Junction,2147.0,NSW,Australia,
65,28,825,16-05-2022,T,F,Approved,Norco Bicycles,Standard,medium,small,"$1,082.36",8640 Village Junction,2066.0,NSW,Australia,
66,86,3315,23-02-2022,T,F,Approved,OHM Cycles,Standard,medium,medium,$125.07,6 North Court,3862.0,VIC,Australia,
67,2,75,03-07-2022,T,F,Approved,Solex,Standard,medium,medium,$53.62,4763 Merchant Avenue,2756.0,New South Wales,Australia,
68,4,1498,30-09-2022,T,F,Approved,Giant Bicycles,Standard,high,medium,$677.48,40 Dexter Crossing,2250.0,NSW,Australia,
69,38,1612,21-10-2022,T,F,Approved,Trek Bicycles,Standard,medium,large,$388.92,84504 Doe Crossing Road,2441.0,NSW,Australia,
70,27,2192,06-05-2022,T,F,Approved,Trek Bicycles,Standard,medium,medium,$388.72,3 Thierer Plaza,4815.0,QLD,Australia,
71,54,419,03-01-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$13.44,7526 Artisan Parkway,4223.0,QLD,Australia,
72,77,3307,09-05-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$108.76,1172 Mesta Center,4740.0,QLD,Australia,
73,22,2430,23-07-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$45.26,57769 Gulseth Lane,2040.0,NSW,Australia,
74,56,1506,21-01-2022,T,F,Approved,OHM Cycles,Standard,medium,medium,$137.90,6 Canary Plaza,2223.0,NSW,Australia,
75,58,1346,20-06-2022,F,T,Approved,OHM Cycles,Standard,medium,medium,$141.40,5 Springview Terrace,3620.0,VIC,Australia,
76,22,927,10-03-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$45.26,2309 Gulseth Way,3199.0,VIC,Australia,
77,50,763,02-06-2022,F,T,Approved,WeareA2B,Standard,medium,small,$131.92,08 Vidon Center,2143.0,NSW,Australia,
78,80,2397,07-11-2022,F,T,Approved,OHM Cycles,Touring,low,medium,$933.84,44083 Village Court,2142.0,NSW,Australia,
79,87,102,12-09-2022,T,F,Approved,Giant Bicycles,Standard,high,medium,$707.40,55850 Butterfield Road,2168.0,New South Wales,Australia,
80,15,2884,16-12-2021,F,T,Approved,Norco Bicycles,Standard,low,medium,$748.90,8369 Golf Court,2777.0,NSW,Australia,
81,84,759,07-10-2022,T,F,Approved,Giant Bicycles,Road,medium,medium,$594.68,4 Vahlen Junction,2227.0,NSW,Australia,
82,21,773,27-04-2022,T,F,Approved,Solex,Standard,medium,large,$380.74,88 Bay Drive,4305.0,QLD,Australia,
83,0,3398,01-04-2022,T,F,Approved,OHM Cycles,Standard,medium,medium,$125.07,375 Luster Parkway,2147.0,NSW,Australia,
84,33,3297,02-11-2022,T,F,Approved,Giant Bicycles,Standard,medium,small,"$1,167.18",50 Declaration Junction,3213.0,VIC,Australia,
85,84,2434,13-02-2022,T,F,Approved,Trek Bicycles,Road,medium,medium,$215.14,1966 Glendale Avenue,4207.0,QLD,Australia,
86,1,1861,19-07-2022,F,T,Approved,Giant Bicycles,Standard,medium,medium,$954.82,7939 Toban Crossing,2770.0,NSW,Australia,
87,27,1233,23-05-2022,F,T,Approved,Trek Bicycles,Standard,medium,medium,$388.72,26 Lotheville Court,2085.0,NSW,Australia,
88,31,1390,06-08-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$205.36,02701 Talmadge Junction,3082.0,VIC,Australia,
89,0,2682,04-04-2022,T,F,Approved,OHM Cycles,Road,high,large,$7.21,446 Warrior Pass,4740.0,QLD,Australia,
90,62,439,15-08-2022,T,F,Approved,Solex,Standard,medium,medium,$298.72,8788 Armistice Trail,3806.0,VIC,Australia,
91,17,1579,15-04-2022,T,F,Approved,Solex,Standard,high,medium,$614.80,82 Hanover Avenue,2101.0,NSW,Australia,
92,73,2984,25-07-2022,T,F,Approved,Solex,Standard,medium,medium,$333.18,0 Hayes Hill,2106.0,NSW,Australia,
93,33,3470,28-11-2022,T,F,Approved,Giant Bicycles,Standard,medium,small,"$1,167.18",176 Sutteridge Alley,3121.0,VIC,Australia,
94,86,1,23-12-2021,F,T,Approved,OHM Cycles,Standard,medium,medium,$125.07,060 Morning Avenue,2016.0,New South Wales,Australia,
95,45,757,26-02-2022,F,T,Approved,Solex,Standard,medium,medium,$84.99,195 Knutson Place,4019.0,QLD,Australia,
96,1,1778,21-02-2022,F,T,Approved,Giant Bicycles,Standard,medium,medium,$954.82,8 Vermont Pass,3930.0,VIC,Australia,
97,80,211,31-05-2022,T,F,Approved,OHM Cycles,Touring,low,medium,$933.84,78 Rockefeller Park,2159.0,NSW,Australia,
98,49,333,23-06-2022,F,T,Approved,Trek Bicycles,Road,medium,medium,$400.13,314 Northland Plaza,4213.0,QLD,Australia,
99,95,32,26-03-2022,F,T,Approved,Giant Bicycles,Standard,medium,large,$528.43,2951 Petterle Place,2756.0,New South Wales,Australia,
100,0,119,31-07-2022,F,T,Approved,Solex,Standard,medium,medium,$298.72,5814 Bunker Hill Street,3070.0,VIC,Australia,
101,18,2347,27-07-2022,F,T,Approved,Norco Bicycles,Standard,high,medium,$689.18,1081 Laurel Park,2049.0,NSW,Australia,
102,4,2353,14-04-2022,F,T,Approved,Giant Bicycles,Standard,high,medium,$677.48,22774 Pennsylvania Hill,2262.0,NSW,Australia,
103,33,788,12-11-2022,F,T,Approved,Giant Bicycles,Standard,medium,small,"$1,167.18",00 Mockingbird Junction,2141.0,NSW,Australia,
104,78,1468,12-09-2022,F,T,Approved,Giant Bicycles,Standard,medium,large,$709.48,45725 Hagan Pass,2519.0,NSW,Australia,
105,89,821,26-10-2022,F,T,Approved,WeareA2B,Touring,medium,large,$57.74,59000 American Center,2530.0,NSW,Australia,
106,70,2489,15-02-2022,F,T,Approved,Trek Bicycles,Standard,high,medium,$297.43,9 Spaight Place,2102.0,NSW,Australia,
107,79,2710,22-12-2021,F,T,Approved,Norco Bicycles,Standard,medium,medium,$818.01,86445 Bonner Junction,4660.0,QLD,Australia,
108,26,947,11-10-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$762.63,9 Clyde Gallagher Plaza,3021.0,VIC,Australia,
109,39,1335,27-03-2022,T,F,Approved,Giant Bicycles,Standard,medium,large,$582.48,4 Sycamore Pass,3977.0,VIC,Australia,
110,36,1076,04-11-2022,F,T,Approved,Solex,Standard,low,medium,$507.58,44 Ramsey Road,2515.0,NSW,Australia,
111,0,3320,11-06-2022,T,F,Approved,OHM Cycles,Standard,low,medium,$56.93,88 Michigan Junction,3109.0,VIC,Australia,
112,84,779,09-10-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$594.68,2570 Wayridge Park,2093.0,NSW,Australia,
113,98,3296,07-06-2022,T,F,Approved,Trek Bicycles,Standard,high,medium,$215.03,85 Carioca Drive,2154.0,NSW,Australia,
114,75,455,24-10-2022,T,F,Approved,Giant Bicycles,Touring,medium,large,$863.95,6 Mariners Cove Center,2233.0,NSW,Australia,
115,76,1779,01-05-2022,F,T,Approved,WeareA2B,Standard,low,medium,$513.85,6238 Hanover Crossing,3141.0,VIC,Australia,
116,72,2703,21-11-2022,T,F,Approved,Norco Bicycles,Standard,medium,medium,$270.30,4826 Crowley Park,2779.0,NSW,Australia,
117,42,806,24-03-2022,F,T,Approved,OHM Cycles,Road,medium,small,"$1,610.90",018 Erie Point,2767.0,NSW,Australia,
118,20,22,21-03-2022,F,T,Approved,Trek Bicycles,Standard,medium,small,"$1,580.47",,,,,
119,64,1591,20-02-2022,F,T,Approved,Trek Bicycles,Standard,medium,large,$596.55,54 Veith Drive,2073.0,NSW,Australia,
120,0,678,16-06-2022,F,T,Approved,Trek Bicycles,Standard,high,medium,$297.43,96910 Sugar Point,4352.0,QLD,Australia,
121,25,50,04-12-2021,F,T,Approved,Giant Bicycles,Road,medium,medium,$829.65,957 Veith Junction,2047.0,New South Wales,Australia,
122,24,1038,01-12-2021,T,F,Approved,Solex,Road,medium,large,$820.78,85 Laurel Trail,3809.0,VIC,Australia,
123,31,1453,05-03-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$205.36,58516 Tony Plaza,2567.0,NSW,Australia,
124,98,1339,21-03-2022,F,T,Approved,OHM Cycles,Standard,medium,medium,$101.58,8766 Onsgard Plaza,3805.0,VIC,Australia,
125,22,3382,03-01-2022,T,F,Approved,Solex,Standard,medium,medium,$431.45,40 Sauthoff Circle,3129.0,VIC,Australia,
126,53,773,01-04-2022,F,T,Approved,OHM Cycles,Standard,medium,medium,$101.58,88 Bay Drive,4305.0,QLD,Australia,
127,84,2503,16-03-2022,T,F,Approved,Trek Bicycles,Road,medium,medium,$215.14,62 Doe Crossing Junction,2760.0,NSW,Australia,
128,25,1057,26-02-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$829.65,7 Main Crossing,2065.0,NSW,Australia,
129,50,1397,05-06-2022,F,T,Approved,WeareA2B,Standard,medium,small,$131.92,79206 Independence Drive,3061.0,VIC,Australia,
130,44,2134,04-09-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$108.76,654 Kim Parkway,3175.0,VIC,Australia,
131,96,2403,18-01-2022,T,F,Approved,WeareA2B,Road,low,small,"$1,043.77",544 Northland Place,2190.0,NSW,Australia,
132,12,1937,28-09-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$161.60,698 Old Gate Lane,2619.0,NSW,Australia,
133,93,1282,02-09-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$230.09,791 Elgar Trail,4340.0,QLD,Australia,
134,78,2183,09-05-2022,F,T,Approved,Giant Bicycles,Standard,medium,large,$709.48,8142 Tomscot Drive,4132.0,QLD,Australia,
135,84,1788,17-10-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$594.68,67 Hooker Place,2380.0,NSW,Australia,
136,65,1170,25-04-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$778.69,378 Prentice Point,4064.0,QLD,Australia,
137,0,431,23-09-2022,F,T,Approved,,,,,,6920 Dwight Circle,4173.0,QLD,Australia,
138,29,1940,02-08-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$230.09,1 Vernon Terrace,4226.0,QLD,Australia,
139,32,2073,25-03-2022,F,T,Cancelled,Giant Bicycles,Standard,high,medium,$707.40,9499 Alpine Drive,3175.0,VIC,Australia,
140,11,462,01-01-2022,F,T,Approved,Giant Bicycles,Standard,high,medium,$764.96,23 Glacier Hill Avenue,2259.0,NSW,Australia,
141,10,2728,22-12-2021,F,T,Approved,Solex,Standard,medium,medium,$333.18,512 Forest Run Center,3188.0,VIC,Australia,
142,46,2053,25-12-2021,F,T,Approved,Solex,Standard,low,medium,$74.51,896 Helena Parkway,4551.0,QLD,Australia,
143,60,2135,26-01-2022,T,F,Approved,Giant Bicycles,Standard,high,small,"$1,759.85",0 Moose Court,2063.0,NSW,Australia,
144,92,1217,20-12-2021,F,T,Approved,WeareA2B,Touring,medium,large,$260.14,387 Pawling Drive,2580.0,NSW,Australia,
145,7,2992,07-06-2022,T,F,Approved,Trek Bicycles,Road,low,medium,$234.43,9610 Gateway Trail,3429.0,VIC,Australia,
146,41,3261,06-04-2022,T,F,Approved,Solex,Road,medium,medium,$312.74,4591 Del Sol Court,2745.0,NSW,Australia,
147,67,2748,25-04-2022,T,F,Approved,Norco Bicycles,Road,medium,medium,$376.84,4320 Toban Avenue,2260.0,NSW,Australia,
148,14,3262,13-01-2022,F,T,Approved,Trek Bicycles,Standard,medium,small,"$1,234.29",2558 Morningstar Center,4221.0,QLD,Australia,
149,89,788,21-03-2022,F,T,Approved,WeareA2B,Touring,medium,large,$57.74,00 Mockingbird Junction,2141.0,NSW,Australia,
150,9,3067,21-11-2022,T,F,Approved,OHM Cycles,Road,medium,medium,$667.40,2178 Washington Hill,3806.0,VIC,Australia,
151,31,701,11-11-2022,F,T,Approved,Giant Bicycles,Standard,medium,medium,$173.18,537 Packers Street,4562.0,QLD,Australia,
152,92,648,16-10-2022,F,T,Approved,WeareA2B,Standard,medium,small,"$1,259.36",9 Mayfield Road,4551.0,QLD,Australia,
153,37,3286,19-08-2022,T,F,Approved,OHM Cycles,Standard,low,medium,$248.82,1 Fairview Park,3977.0,VIC,Australia,
154,3,3383,06-04-2022,T,F,Approved,Trek Bicycles,Standard,medium,large,$388.92,48 Rockefeller Court,3786.0,VIC,Australia,
155,56,982,04-11-2022,T,F,Approved,Norco Bicycles,Mountain,low,small,$612.88,8276 Hudson Trail,2250.0,NSW,Australia,
156,14,676,22-08-2022,T,F,Approved,Solex,Standard,high,large,"$1,105.75",4 Sunfield Circle,2194.0,NSW,Australia,
157,6,385,15-09-2022,T,F,Approved,Solex,Standard,high,medium,$448.90,58211 Surrey Crossing,2170.0,NSW,Australia,
158,50,1229,01-03-2022,T,F,Approved,WeareA2B,Standard,medium,small,$131.92,7929 Grasskamp Trail,2119.0,NSW,Australia,
159,10,3232,16-08-2022,F,T,Approved,WeareA2B,Touring,medium,medium,$363.25,78258 Hanover Plaza,3070.0,VIC,Australia,
160,0,3300,27-08-2022,F,T,Approved,,,,,,08 Upham Place,2176.0,NSW,Australia,
161,69,2381,10-07-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$594.68,9 American Ash Plaza,2015.0,NSW,Australia,
162,78,371,11-12-2021,F,T,Approved,Giant Bicycles,Standard,medium,large,$709.48,92808 Mallard Terrace,3215.0,VIC,Australia,
163,80,2519,20-05-2022,T,F,Approved,OHM Cycles,Touring,low,medium,$933.84,685 International Lane,4825.0,QLD,Australia,
164,17,2264,30-07-2022,F,T,Approved,Solex,Standard,high,medium,$614.80,883 Almo Terrace,3977.0,VIC,Australia,
165,3,2637,25-10-2022,T,F,Approved,Trek Bicycles,Standard,medium,large,$388.92,518 Colorado Trail,2100.0,NSW,Australia,
166,78,3262,27-11-2022,F,T,Approved,Giant Bicycles,Standard,medium,large,$709.48,2558 Morningstar Center,4221.0,QLD,Australia,
167,90,3177,26-04-2022,F,T,Approved,Norco Bicycles,Standard,low,medium,$290.41,06 Kipling Circle,2085.0,NSW,Australia,
168,87,2267,02-02-2022,F,T,Approved,Giant Bicycles,Standard,high,medium,$707.40,93 Shasta Avenue,4171.0,QLD,Australia,
169,97,456,02-05-2022,F,T,Approved,Solex,Standard,medium,large,$151.96,572 Gerald Trail,2145.0,NSW,Australia,
170,6,404,16-10-2022,F,T,Approved,OHM Cycles,Standard,high,medium,$136.73,333 Bunting Crossing,2536.0,NSW,Australia,
171,100,3121,22-10-2022,F,T,Approved,Norco Bicycles,Road,medium,medium,$206.35,969 Sycamore Point,2304.0,NSW,Australia,
172,55,2365,11-04-2022,T,F,Approved,Trek Bicycles,Road,medium,large,$598.76,743 Stone Corner Parkway,4127.0,QLD,Australia,
173,100,2528,16-11-2022,F,T,Approved,Norco Bicycles,Road,medium,medium,$206.35,3 Myrtle Terrace,4161.0,QLD,Australia,
174,10,3151,17-12-2021,F,T,Approved,WeareA2B,Touring,medium,medium,$363.25,32798 Melby Center,4055.0,QLD,Australia,
175,25,3241,23-12-2021,F,T,Approved,Giant Bicycles,Road,medium,medium,$829.65,7574 Onsgard Drive,4011.0,QLD,Australia,
176,74,1335,30-03-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$400.91,4 Sycamore Pass,3977.0,VIC,Australia,
177,90,2234,13-04-2022,F,T,Approved,Norco Bicycles,Standard,low,medium,$290.41,501 Reindahl Alley,2069.0,NSW,Australia,
178,56,3226,25-07-2022,T,F,Approved,OHM Cycles,Standard,medium,medium,$137.90,97 Sunnyside Junction,3977.0,VIC,Australia,
179,62,1365,31-01-2022,F,T,Approved,Solex,Standard,medium,medium,$298.72,970 Sundown Place,3222.0,VIC,Australia,
180,20,3349,18-03-2022,T,F,Approved,Trek Bicycles,Standard,medium,small,"$1,580.47",9 Brown Pass,3196.0,VIC,Australia,
181,17,1002,24-02-2022,F,T,Approved,Solex,Standard,high,medium,$614.80,656 Bartelt Parkway,3127.0,VIC,Australia,
182,16,2282,18-02-2022,F,T,Approved,Norco Bicycles,Standard,high,small,"$1,479.11",953 Del Sol Point,3630.0,VIC,Australia,
183,46,2656,07-01-2022,F,T,Approved,Solex,Standard,low,medium,$74.51,444 Spaight Crossing,3070.0,VIC,Australia,
184,71,2409,05-07-2022,T,F,Approved,Solex,Standard,high,large,"$1,105.75",4177 Bluejay Street,2560.0,NSW,Australia,
185,91,1711,19-11-2022,F,T,Approved,WeareA2B,Standard,low,medium,$513.85,2 Dwight Point,4133.0,QLD,Australia,
186,17,2582,08-11-2022,T,F,Approved,Solex,Standard,high,medium,$614.80,6551 Atwood Road,4216.0,QLD,Australia,
187,1,1005,24-07-2022,T,F,Approved,Giant Bicycles,Touring,medium,large,$863.95,67 Holmberg Way,2165.0,NSW,Australia,
188,3,1597,15-01-2022,T,F,Approved,Trek Bicycles,Standard,medium,large,$388.92,019 Derek Hill,2224.0,NSW,Australia,
189,56,2713,12-01-2022,T,F,Approved,OHM Cycles,Standard,medium,medium,$137.90,29895 Crest Line Point,2049.0,NSW,Australia,
190,37,1435,27-11-2022,T,F,Approved,OHM Cycles,Standard,low,medium,$248.82,8934 Park Meadow Street,2756.0,NSW,Australia,
191,34,1477,30-06-2022,T,F,Approved,Norco Bicycles,Road,high,large,$464.72,472 Blaine Junction,2440.0,NSW,Australia,
192,0,1614,15-07-2022,T,F,Approved,Giant Bicycles,Standard,medium,medium,$173.18,835 Thackeray Place,2261.0,NSW,Australia,
193,12,1254,22-06-2022,T,F,Approved,WeareA2B,Standard,medium,medium,$161.60,563 Northport Drive,4701.0,QLD,Australia,
194,25,1423,02-05-2022,F,T,Approved,Giant Bicycles,Road,medium,medium,$829.65,5700 Banding Lane,2762.0,NSW,Australia,
195,81,276,27-12-2021,F,T,Approved,Norco Bicycles,Standard,medium,small,$521.94,370 Portage Parkway,3125.0,VIC,Australia,
196,19,1315,21-12-2021,T,F,Approved,OHM Cycles,Road,high,large,$7.21,55326 Fulton Hill,3931.0,VIC,Australia,
197,45,591,23-05-2022,T,F,Approved,Solex,Standard,medium,medium,$84.99,36912 Gina Pass,2133.0,NSW,Australia,
198,74,1017,02-02-2022,F,T,Approved,WeareA2B,Standard,medium,medium,$950.52,42 Lunder Drive,2027.0,NSW,Australia,
199,33,2123,08-06-2022,F,T,Approved,Giant Bicycles,Standard,medium,small,"$1,167.18",43 Sunbrook Terrace,4160.0,QLD,Australia,
200,57,2889,15-04-2022,T,F,Approved,WeareA2B,Touring,medium,large,$260.14,37595 Packers Terrace,3064.0,VIC,Australia,
201,0,3208,05-09-2022,T,F,Approved,Trek Bicycles,Road,medium,medium,$400.13,43 South Pass,3620.0,VIC,Australia,
202,23,2406,26-02-2022,T,F,Approved,Norco Bicycles,Mountain,low,small,$612.88,645 Thackeray Street,4879.0,QLD,Australia,
203,67,2041,29-07-2022,F,T,Approved,Norco Bicycles,Road,medium,medium,$376.84,51739 Sundown Hill,2009.0,NSW,Australia,
